ESC000;Edinburgh Castle;This fortress, the center of numerous battles, is said to be haunted by the ghost of a drummer who continues to play his headless drum, and by numerous prisoners who died in its dungeons. It is even said that a ghostly dog can be seen wandering through the castle cemetery;Scotland;150;Ap-De-Ol-Ru
ESC001;Inveraray Castle;Located in the Highlands, the ghost of a murdered young woman and a soldier who died during an attack on the fortress have been seen in its hallways;Scotland;135;Ap-En-Ru
ESC002;Duns Castle;The ghost said to inhabit this castle is that of a young woman who, escaping from an arranged marriage, died after falling into the void. Since then, the spirit of this young woman haunts the castle's rooms;Scotland;150;Ap-De-En-Ob
ESC003;Hermitage Castle;Screams, doors opening or closing without reason are heard. It is even claimed that a ragged dwarf and a woman of majestic appearance can be seen. The apparitions are attributed to one of its early owners, William de Soulis, as it is said he practiced black magic;Scotland;175;Ap-En-Ru
ESC004;Pevensey Castle;Lady Pelham fiercely defended her position while her husband died in battle. It is said that her ghost, along with her army, appears in the vicinity, and that even today, the sounds of the fierce battle can be heard;Scotland;130;Ap-Ru
ESP000;Loarre Castle;Located in Huesca, it is claimed that the ghost of Queen Isabella the Catholic still wanders among its walls;Spain;220;Ap
ESP001;Castle of Buen Amor;This property of the Catholic Monarchs, located in Salamanca, was offered as a gift to Archbishop Alonso de Fonseca, who had a forbidden love affair with Doña María de Ulloa. It is said that the souls of the lovers still linger in the place: several people have witnessed different apparitions, and various electronic voice phenomena have been recorded inside;Spain;185;Ap-De-Ru
ESP002;Cornatel Castle;Located in El Bierzo, this castle was the headquarters of the Templar Knights and witnessed many bloody battles. The spirits of the knights who fell there still wander in the surroundings;Spain;115;Ap-Ru
ESP003;Gardeny Castle;Linked to the Templar Order, two spectral guardians still watch over the gates of this castle located in Lleida;Spain;190;Ap-Ru
ING000;Tower of London;Among its incorporeal guests, we can find that of Anne Boleyn, one of the wives of Henry VIII, who was executed in this Tower by her husband in 1536. It is said that the spirit of the very young Lady Jane Grey, executed here at only 16 years old, also roams its corridors;England;325;Ap-De-En-Ob-Ol-Ru
ING001;Chillingham Castle;The most well-known of the spectral beings inhabiting this castle is Blue Boy. It is said that at midnight, his screams and lamentations can be heard clearly, and when the terrible voices fade away, a bluish light halo takes the form of a child;England;190;Ap-En-Ru
ING002;Ripley Castle;The spirit of a nun who knocks on the doors of the guests' rooms wanders through this haunted Yorkshire castle;England;110;Ap-Ru
ING003;Hampton Court Palace;As the residence of King Henry VIII, the spirit of Catherine Howard, who was ordered to be executed by the king, wanders through its chambers;England;205;Ap-En-Ru
RUM000;Bran Castle;Located in the Transylvania region, it is the castle where Count Dracula lived;Romania;325;Ap-Ob-Ru
RUM001;Poenari Fortress;Built between the 14th and 18th centuries, the castle was initially a fortress. Used as a prison in medieval times, the cries of the imprisoned can still be heard in its damp dungeons;Romania;170;Ru
